酒店,评论,价格,城市,区域,地址,距离,纬度,经度,评分,评价,环境,卫生,服务,设施,标签
上海嘉奕酒店(安亭店),418条点评,230,上海,嘉定新城,安亭镇新源路818号3层,距市中心直线31.5公里,31.30096909741421,121.15348714000454,4.5,不错,4.5,4.6,4.5,4.5,免费停车 健身室 无烟楼层 儿童泳池 行政酒廊 家庭房 咖啡厅 套房 洗衣房 干衣机
上海都会路丽呈酒店,42条点评,334,上海,交大/闵行开发区,颛桥镇都会路3690号,距市中心直线17.1公里,31.08651431528881,121.41020554366449,4.9,超棒,4.9,4.9,4.9,4.9,榻榻米房 免费停车 管家服务 会议厅 自助早餐 新开业 健身室 家庭房
如家睿柏·云酒店(上海友谊西路地铁站店),805条点评,270,上海,吴淞口国际邮轮港,友谊路2970号昊耀商业广场内四楼,距市中心直线17.4公里,31.38228809331887,121.42870755905375,4.5,不错,4.5,4.5,4.6,4.5,洗衣房 多人开黑 电竞电脑 机械键盘 家庭房
上海森兰洲海路地铁站CitiGO HOUSE欢阁服务公寓,"1,371条点评",335,上海,浦东外高桥,洲海路1088弄2号B幢,距市中心直线14.4公里,31.31492202817954,121.58805965368565,4.7,很好,4.7,4.7,4.7,4.7,免费停车 健身室 商务中心 管家服务 无烟楼层 洗衣房 干衣机 充电桩 厨房 花园景
上海陆家嘴万信R酒店,"5,966条点评",479,上海,浦东金桥,崮山路688号,距市中心直线8.2公里,31.2397610883836,121.55945916165794,4.6,好,4.6,4.6,4.6,4.6,免费停车 洗衣房 家庭房 会议厅 榻榻米房 无烟楼层 健身室 自助早餐 套房 SPA
汉庭酒店(上海松江泗泾店),349条点评,283,上海,佘山/松江大学城,泗泾镇沪松公路2511弄2幢16号,距市中心直线22公里,31.116405193915163,121.28477917375064,4.7,很好,4.7,4.8,4.7,4.7,机器人服务 洗衣房 干衣机 免费停车 自助早餐
客堂涧公寓酒店(上海虹桥机场合川路店),124条点评,273,上海,光大会展中心/漕河泾地区,合川路2850号一层,距市中心直线10.9公里,31.1711464706402,121.3829820361446,4.2,,4.1,4.3,4.3,4.2,洗衣房 管家服务 无烟楼层 干衣机 新开业
上海吉臣维景酒店,"8,037条点评",595,上海,静安寺/南京西路,万航渡路818号,距市中心直线4.2公里,31.227855593399447,121.42964481180896,4.6,好,4.7,4.7,4.7,4.5,免费停车 美食酒店 机器人服务 拍照出片 会议厅 咖啡厅 无烟楼层 健身室 动人夜景 套房
上海光大国际大酒店,"1,426条点评",701,上海,光大会展中心/漕河泾地区,漕宝路66号,距市中心直线8.2公里,31.167602981681217,121.42943455801061,4.5,不错,4.6,4.5,4.5,4.4,泳池 商务中心 健身室 免费停车 咖啡厅 自助早餐 套房 无烟楼层 充电桩
云和夜泊酒店(上海浦东国际机场店),"7,491条点评",655,上海,浦东机场核心区,秋亭路128弄,距市中心直线31.4公里,31.097904647451344,121.76511903286361,4.9,超棒,4.8,4.8,4.9,4.8,免费送机 儿童托管 自助早餐 免费停车 免费接送机 亲子主题房 烟花秀 家庭房 无烟楼层 健身室
汉庭酒店(上海嘉定叶城路店),244条点评,205,上海,嘉定新城,叶城路485号,距市中心直线25.3公里,31.370295528953903,121.26382578899447,4.9,超棒,4.9,4.9,4.9,4.9,洗衣房 无烟楼层 免费停车 自助早餐
锦江之星风尚(上海浦东机场镇店),"4,088条点评",293,上海,浦东机场核心区,川南奉公路971弄1号7幢,距市中心直线26.3公里,31.18250572529233,121.74436430423702,4.4,,4.4,4.5,4.5,4.4,免费停车 穿梭机场班车 无烟楼层 花园景 套房 自助早餐
伟樽酒店(上海虹桥火车站国家会展中心店),"1,535条点评",309,上海,虹桥机场/国家会展中心,北翟路3088号,距市中心直线14.6公里,31.22179654166546,121.32046088515617,4.6,好,4.6,4.6,4.7,4.6,免费停车 会议厅 免费送机 免费接送机 自助早餐 家庭房 套房 花园 无烟楼层 拍照出片
维也纳国际酒店(上海浦东机场店),"6,059条点评",420,上海,浦东机场核心区,川南奉公路1226号11幢,距市中心直线26.5公里,31.175609544976354,121.74493231248573,4.6,好,4.6,4.7,4.7,4.6,免费停车 穿梭机场班车 机器人服务 家庭房 自助早餐 无烟楼层 商务中心 洗衣房 健身室 套房
齐来轻奢酒店(上海虹桥中心店),"6,409条点评",348,上海,光大会展中心/漕河泾地区,吴中路1169号,距市中心直线10.4公里,31.1762721524864,121.384995193429,4.7,很好,4.7,4.7,4.7,4.7,机器人服务 咖啡厅 智能客控 无烟楼层 健身室 干衣机 洗衣房 儿童餐 拍照出片 会议厅
网鱼电竞酒店(上海奉贤南桥店),413条点评,228,上海,奉贤开发区,立新路140号,距市中心直线35.2公里,30.914046074557437,121.4605313712332,4.9,超棒,4.9,4.9,4.9,4.9,无烟楼层 投影仪 洗衣房 影音房 RTX4070Ti 干衣机 游戏特权 免费停车 电竞酒店 机械键盘
上海陆家嘴丽呈酒店,"3,551条点评",514,上海,陆家嘴,南洋泾路568号,距市中心直线7.9公里,31.232324453348447,121.55658896353765,4.7,很好,4.7,4.7,4.7,4.6,免费停车 洗衣房 充电桩 商务中心 机器人服务 无烟楼层 自助早餐 套房
上海徐家汇八万人体育场趣栗酒店,"1,469条点评",408,上海,徐家汇,龙华西路515号,距市中心直线6.7公里,31.176216906652378,121.4430749086823,4.5,不错,4.5,4.5,4.5,4.4,智能客控 免费停车 健身室 咖啡厅 干衣机 商务中心 洗衣房 管家服务 套房 花园
上海嘉定新城瑞贝庭公寓酒店,157条点评,284,上海,嘉定新城,马陆镇合作路859号,距市中心直线24公里,31.337883995444304,121.25461816566977,4.5,不错,4.6,4.5,4.6,4.4,免费停车 新开业 机器人服务 洗衣房 会议厅 健身室 自助早餐 干衣机 咖啡厅 花园
唯庭酒店(上海徐家汇交大店),"4,466条点评",444,上海,徐家汇,文定路218号,距市中心直线6.4公里,31.18578163350274,121.43195405883898,4.8,棒,4.8,4.8,4.8,4.7,会议厅 智能客控 洗衣房 健身室 机器人服务 干衣机 咖啡厅 自助早餐 家庭房 管家服务
汉庭酒店(上海顾村公园沪太路店),546条点评,284,上海,顾村公园,刘行镇沪太路4988号,距市中心直线15.8公里,31.34925246820143,121.38220831415488,4.7,很好,4.7,4.7,4.7,4.7,免费停车 新开业 机器人服务 无烟楼层 洗衣房
上海协信莎玛长风服务式公寓,"2,270条点评",430,上海,长风公园,大渡河路388弄2号,距市中心直线7.6公里,31.22486157636204,121.39401211607868,4.6,好,4.7,4.7,4.6,4.6,免费停车 动人夜景 健身室 儿童乐园 自助早餐 无烟楼层 家庭房 套房 自营亲子房 厨房
上海宝安大酒店,"4,016条点评",491,上海,陆家嘴,东方路800号,距市中心直线4.8公里,31.22654411865936,121.52378624852757,4.6,好,4.6,4.6,4.6,4.5,家庭房 会议厅 健身室 行政酒廊 中式餐厅 套房 无烟楼层 自助早餐 咖啡厅 管家服务
上海松江m美玥酒店,"2,212条点评",399,上海,佘山/松江大学城,中山街道广富林路358弄三迪曼哈顿二期6号楼,距市中心直线28.5公里,31.057965458221155,121.25200758335009,4.8,棒,4.8,4.8,4.8,4.8,智能客控 会议厅 健身室 机器人服务 免费停车 自助早餐 咖啡厅 干衣机 无烟楼层 洗衣房
虹舸公寓酒店,859条点评,406,上海,虹桥,天山支路168号A区1-3层,距市中心直线7.6公里,31.215235210886444,121.3962719171095,4.5,不错,4.4,4.5,4.4,4.4,健身室 会议厅 管家服务 无烟楼层 家庭房 自助早餐
全季酒店(上海宝山友谊路店),"1,132条点评",321,上海,吴淞口国际邮轮港,同济路999号1号楼,距市中心直线19.3公里,31.403715599491836,121.4784767166219,4.9,超棒,4.8,4.9,4.9,4.8,免费停车 机器人服务 洗衣房 无烟楼层 干衣机 充电桩 会议厅 自助早餐
艺龙安悦酒店(上海浦东大道歇浦路地铁站店),"2,983条点评",420,上海,浦东金桥,浦东金桥浦东大道2123号,距市中心直线7.6公里,31.24999948224183,121.5503163798899,4.7,很好,4.6,4.7,4.7,4.6,免费停车 干衣机 自营影音房 机器人服务 投影仪 洗衣房 无烟楼层 免费儿童早餐 家庭房 咖啡厅
上海浦东开元大酒店,"1,064条点评",376,上海,浦东外高桥,自由贸易试验区张杨北路5658号,距市中心直线16公里,31.345591337782775,121.5746381065171,4.6,好,4.6,4.6,4.5,4.5,室内泳池 免费停车 机器人服务 自助早餐 健身室 无烟楼层 家庭房 会议厅 套房
上海虹桥宾馆,"4,273条点评",399,上海,虹桥,延安西路2000号,距市中心直线6.7公里,31.204011944890834,121.41020598019871,4.6,好,4.6,4.6,4.5,4.5,室内恒温泳池 免费停车 拍照出片 商务中心 咖啡厅 行政酒廊 酒吧 无烟楼层 健身室 自助早餐
上海五角场博邻酒店,905条点评,542,上海,江湾/五角场,殷行路1258号,距市中心直线11.6公里,31.329536476696692,121.51174546588572,4.7,很好,4.7,4.7,4.6,4.6,免费停车 洗衣房 咖啡厅 恒温泳池 会议厅 健身室 无烟楼层 瑜伽课程 套房 干衣机
格林豪泰(崇明南门店),125条点评,396,上海,崇明岛/长兴岛/横沙岛,城桥镇三沙洪路153号,距市中心直线45.2公里,31.62924744257324,121.38590680918487,4.4,,4.3,4.4,4.5,4.3,棋牌室 免费停车 无烟楼层 套房 免费儿童早餐 家庭房 茶室
上海携程美居酒店,"3,185条点评",587,上海,虹桥,福泉路99号,距市中心直线11.1公里,31.22003763525599,121.35782273558736,4.8,棒,4.8,4.9,4.8,4.8,机器人服务 健身室 亲子主题房 无烟楼层 自助早餐 会议厅
上海瑞廷西郊S酒店,"3,715条点评",382,上海,虹桥机场/国家会展中心,徐泾镇双联路88号,距市中心直线19.3公里,31.1931156332493,121.275918353169,4.7,很好,4.7,4.7,4.7,4.7,免费停车 洗衣房 家庭房 机器人服务 干衣机 商务中心 咖啡厅 酒吧 套房 无烟楼层
桔子酒店(上海虹桥机场曹安公路店),"1,853条点评",365,上海,长风公园,曹安公路1980号,距市中心直线11.5公里,31.25644623025807,121.35661230935493,4.8,棒,4.7,4.8,4.8,4.7,穿梭机场班车 免费停车 充电桩 洗衣房 免费送站 机器人服务 自助早餐 咖啡厅 管家服务 智能客控
上海静安寺淮海中路亚朵X酒店,"3,297条点评",694,上海,淮海路/新天地,淮海中路1329号云海大厦1F6-11F,距市中心直线3.1公里,31.2118537317552,121.449558786561,4.6,好,4.6,4.6,4.7,4.6,机器人服务 智能客控 老洋房 干衣机 咖啡厅 拍照出片 自助早餐 无烟楼层 洗衣房 管家服务
汉庭酒店(上海外高桥自贸区金高路店),431条点评,267,上海,浦东外高桥,金高路453号,距市中心直线14.7公里,31.291671566527945,121.61090588227302,4.7,很好,4.6,4.7,4.8,4.6,干衣机 茶室 无烟楼层 自助早餐
唯庭酒店(上海金桥店),"1,615条点评",334,上海,浦东金桥,金桥路1388号,距市中心直线11.1公里,31.252679912364304,121.58744207326251,4.5,不错,4.5,4.5,4.5,4.5,免费停车 自助早餐 SPA 花园 蓝牙音箱 智能客控 无烟楼层 家庭影院
一只柠萌酒店(上海淮海路店),114条点评,240,上海,淮海路/新天地,淮海中路1329号云海大厦18楼,距市中心直线3.1公里,31.21178632956219,121.44962269186188,4.7,很好,4.7,4.8,4.8,4.6,新开业 酒吧 洗衣房 干衣机
上海礼和酒店(徐家汇地铁站店),"1,766条点评",462,上海,徐家汇,南丹东路208号,距市中心直线5.6公里,31.189225950223406,121.439759680416,4.6,好,4.6,4.6,4.6,4.5,无烟楼层 洗衣房 干衣机 家庭房
上海浦东国际机场东站华美达酒店,"1,175条点评",435,上海,浦东机场核心区,施新路958号,距市中心直线28.7公里,31.1479890297129,121.759198787555,4.4,,4.3,4.5,4.5,4.3,免费停车 免费送机 儿童乐园 自助早餐 家庭房 亲子主题房 免费接送机 无烟楼层
树下智慧民宿,2条点评,234,上海,顾村公园,新川沙路529弄15号,距市中心直线30.2公里,31.477985526353496,121.34360346306816,4.8,棒,4.8,4.8,4.8,4.8,阳台房 智能客控 新开业 套房 榻榻米房 家庭房
桔子酒店上海国际旅游度假区申江南路店,"1,285条点评",444,上海,南汇/野生动物园,新场镇申江南路4888号,距市中心直线23.9公里,31.074054499234986,121.64576658783294,4.7,很好,4.7,4.7,4.7,4.7,免费停车 洗衣房 机器人服务 智能客控 儿童乐园 免费送机 自助早餐 无烟楼层 健身室 管家服务
上海南郊宾馆,"2,192条点评",463,上海,奉贤开发区,南桥新城展园路398号,距市中心直线34公里,30.925193588545426,121.48362378309695,4.6,好,4.6,4.6,4.5,4.5,水上乐园 室内泳池 亲子酒店 中式餐厅 挖沙 自助早餐 套房 无烟楼层 会议厅 棋牌室
上海双阳精品酒店(黄兴路地铁站店),163条点评,210,上海,江湾/五角场,双阳路421号,距市中心直线8公里,31.281944510325136,121.53183688210618,4.3,,4.3,4.4,4.3,4.2,管家服务 无烟楼层 套房
上海中山公园云睿酒店,"3,389条点评",472,上海,中山公园,定西路1018号,距市中心直线5.2公里,31.211342676878083,121.42365561042607,4.6,好,4.6,4.6,4.6,4.5,洗衣房 会议厅 无烟楼层 套房 自助早餐
格盟酒店(上海市崇明长兴岛客运站店),163条点评,196,上海,崇明岛/长兴岛/横沙岛,长兴岛凤凰公路38号1幢 (客运站隔壁),距市中心直线26.4公里,31.3801492991834,121.688299057353,4.5,不错,4.4,4.5,4.6,4.4,自助早餐 花园 会议厅 免费停车 套房 洗衣房 家庭房 无烟楼层 棋牌室 江河景房
维也纳国际酒店(上海虹桥国展中心漕宝路店),"1,173条点评",328,上海,光大会展中心/漕河泾地区,虹莘路2968弄37号,距市中心直线12.2公里,31.15663015733,121.37872028873,4.5,不错,4.5,4.5,4.6,4.5,免费停车 会议厅 洗衣房 无烟楼层 干衣机 自助早餐 家庭房
上海徐汇同文君亭酒店,"1,646条点评",451,上海,光大会展中心/漕河泾地区,桂林路17号,距市中心直线9.7公里,31.1544963626033,121.42286050803,4.7,很好,4.7,4.7,4.7,4.6,免费停车 影音房 洗衣房 花园 咖啡厅 健身室 投影仪 自助早餐 家庭房 会议厅
荷花酒店(淀山湖大道地铁站万达茂店),897条点评,369,上海,青浦朱家角/东方绿舟,青泰路656号,距市中心直线39公里,31.13694966259741,121.07899454145344,4.8,棒,4.8,4.9,4.9,4.8,室内恒温泳池 免费停车 机器人服务 家庭房 茶室 无烟楼层 瑜伽课程 干衣机 棋牌室 咖啡厅
上海国际旅游度假区野生动物园亚朵X酒店,"1,767条点评",501,上海,南汇/野生动物园,惠南镇沪南公路9408号,距市中心直线31.7公里,31.036808415444362,121.7180974281392,4.7,很好,4.7,4.7,4.7,4.7,穿梭机场班车 智能客控 管家服务 机器人服务 亲子主题房 洗衣房 家庭房 套房 无烟楼层 干衣机
汉庭酒店(上海北虹桥电商产业园协通大厦店),91条点评,274,上海,嘉定新城,曹安公路3918号协通大厦1楼,距市中心直线19.5公里,31.271729822625225,121.27451212210431,4.8,棒,4.9,4.9,4.7,4.8,免费停车 充电桩 新开业 洗衣房 自助早餐 机器人服务 智能客控 咖啡厅 无烟楼层 干衣机
嘉虹酒店(上海虹桥机场店),"1,668条点评",406,上海,虹桥机场/国家会展中心,沪青平公路38号,距市中心直线12.3公里,31.183962335123546,121.3566430057958,4.6,好,4.5,4.6,4.6,4.5,免费停车 会议厅 免费送机 免费接送机 洗衣房 自助早餐 干衣机 健身室 亲子主题房 无烟楼层
全季酒店(上海新国际博览中心陈春路店),405条点评,421,上海,新国际博览中心,北蔡镇陈春路299号,距市中心直线9.8公里,31.171806960241934,121.5501192876694,4.7,很好,4.7,4.7,4.7,4.6,免费停车 无烟楼层 洗衣房 干衣机 免费儿童早餐
上海虹桥临空智选假日酒店,212条点评,404,上海,虹桥,临虹路289号,距市中心直线11.6公里,31.22993755975702,121.35147228540418,4.8,棒,4.7,4.9,4.8,4.8,免费停车 干衣机 健身室 新开业 自助早餐 无烟楼层 洗衣房
上海唐镇智选假日酒店,"1,015条点评",486,上海,迪士尼,高科东路515弄30号恒生万鹂广场4号楼,距市中心直线17.2公里,31.2125567102641,121.653277077431,4.7,很好,4.7,4.7,4.6,4.6,低碳酒店 免费停车 咖啡厅 机器人服务 无烟楼层 儿童餐 棋牌室 室内无边泳池 套房 干衣机 管家服务
上海鲁能JW万豪侯爵酒店,"2,521条点评",1633,上海,陆家嘴,浦明路988号,距市中心直线4.1公里,31.2164784025022,121.513897808376,4.8,棒,4.8,4.8,4.8,4.8,设计师酒店 恒温泳池 行政酒廊 屋顶酒吧 江河景房 桑拿 中式餐厅 城市夜景 拍照出片 亲子课程
上海浦东国际机场迪航酒店,"5,479条点评",393,上海,浦东机场核心区,晨阳西路653号,距市中心直线26.5公里,31.175234582514673,121.74450789829258,4.6,好,4.6,4.6,4.7,4.6,免费接机 洗衣房 家庭房 无烟楼层 免费接送机 干衣机 会议厅 自助早餐
上海虹桥万象城CitiGO欢阁酒店,"2,008条点评",386,上海,虹桥,金汇路465号,距市中心直线11.1公里,31.178323186219494,121.37456131492691,4.8,棒,4.8,4.8,4.8,4.7,健身室 洗衣房 自助早餐 咖啡厅 干衣机 无烟楼层 会议厅 智能客控
景莱酒店•臻选(上海长寿路地铁站店),"2,399条点评",510,上海,长寿路,安远路395号,距市中心直线3.2公里,31.2390552673943,121.44206914812,4.6,好,4.7,4.6,4.7,4.6,洗衣房 机器人服务 干衣机 烧烤 家庭房 无烟楼层 智能客控 花园 拍照出片 会议厅
上海浦东金桥国际商业广场亚朵酒店,"1,977条点评",547,上海,浦东金桥,栖山路1875号,距市中心直线9.9公里,31.26161222167277,121.57163852168621,4.8,棒,4.8,4.8,4.8,4.8,免费停车 会议厅 健身室 自助早餐 无烟楼层 套房 花园 管家服务
上海静安瑞吉酒店,"3,122条点评",1668,上海,静安寺/南京西路,北京西路1008号,距市中心直线1.7公里,31.231169752425,121.45593975533,4.7,很好,4.7,4.7,4.6,4.6,亲子主题房 城市夜景 拍照出片 SPA 健身课程 室内景观泳池 桑拿 酒吧 美食酒店 商务中心
上海大宁市北高新园区亚朵酒店,"1,532条点评",503,上海,大宁国际,广延路1286号,距市中心直线7.1公里,31.29231465078589,121.45511148370136,4.7,很好,4.7,4.8,4.7,4.7,免费停车 机器人服务 洗衣房 自助早餐 商务中心 干衣机 健身室 家庭房 无烟楼层 套房
上海徐家汇CitiGO欢阁酒店,"2,249条点评",548,上海,徐家汇,肇嘉浜路1029弄88号,距市中心直线5公里,31.19472585480885,121.44251576499454,4.7,很好,4.7,4.7,4.7,4.6,干衣机 咖啡厅 健身室 自助早餐 洗衣房 无烟楼层 智能客控 拍照出片 免费停车 茶室
全季酒店(上海虹桥古北壹号店),779条点评,485,上海,虹桥,翠钰路8号,距市中心直线8.5公里,31.1902778355113,121.397935557147,4.6,好,4.6,4.7,4.6,4.6,洗衣房 健身室 咖啡厅 免费停车 商务中心 无烟楼层 自助早餐
上海徐家汇漕河泾CitiGO欢阁公寓酒店,991条点评,475,上海,光大会展中心/漕河泾地区,钦州路777号,距市中心直线7.3公里,31.1778896947642,121.427576785184,4.7,很好,4.7,4.7,4.7,4.7,机器人服务 健身室 干衣机 洗衣房 自助早餐 无烟楼层 智能客控 会议厅
上海禾安牛民宿,,839,上海,淮海路/新天地,长乐路169弄4号一楼101室,距市中心直线1.5公里,31.220975290935673,121.46218902134662,,,,,,,新开业
浦天美泊酒店(上海国际旅游度假区店),"3,717条点评",405,上海,南汇/野生动物园,惠南镇沪南公路9900号5层-10层,距市中心直线33公里,31.0395715902545,121.738660450075,4.6,好,4.6,4.6,4.7,4.6,免费接送机 儿童乐园 亲子主题房 管家服务 动物角 乒乓球室 桌球室 棋牌室 免费停车 自助早餐
上海五角场逸扉酒店,"3,327条点评",437,上海,江湾/五角场,国定东路255号,距市中心直线8.8公里,31.298580562270306,121.52052319556402,4.9,超棒,4.9,4.9,4.9,4.8,干衣机 免费停车 智能客控 儿童餐 无烟楼层 自助早餐 咖啡厅 健身室 下午茶 管家服务
上海五角场丽芮酒店,"1,802条点评",591,上海,江湾/五角场,四平路1251号,距市中心直线6.9公里,31.285105501191097,121.5070350306514,4.8,棒,4.8,4.8,4.8,4.8,机器人服务 酒吧 下午茶 家庭房 健身室 咖啡厅 无烟楼层 套房 自助早餐 会议厅
上海五角场柏阳君亭酒店,640条点评,419,上海,四川北路,曲阳路779号,距市中心直线6.7公里,31.288432775870643,121.49049265199342,4.7,很好,4.7,4.7,4.8,4.7,机器人服务 洗衣房 免费停车 无烟楼层 干衣机 套房 自助早餐 咖啡厅 健身室 会议厅
上海威斯汀大饭店,"2,474条点评",1346,上海,外滩核心区,河南中路88号,距市中心直线1.3公里,31.232434099014537,121.48683068165613,4.5,不错,4.5,4.6,4.5,4.4,动人夜景 免费停车 江河景房 热带景观 行政酒廊 桑拿 酒吧 会议厅 咖啡厅 套房
上海虹桥漕河泾美居酒店,"1,767条点评",423,上海,光大会展中心/漕河泾地区,虹莘路3069号,距市中心直线12.4公里,31.156150515287674,121.37699287985507,4.8,棒,4.7,4.8,4.8,4.7,免费停车 免费送机 免费送站 机器人服务 洗衣房 干衣机 咖啡厅 健身室 套房 无烟楼层
和颐至尚酒店(上海前滩世博园店),"1,745条点评",382,上海,前滩,海阳路681弄5号楼,距市中心直线8.5公里,31.15680030682061,121.49853846234478,4.6,好,4.6,4.6,4.6,4.5,免费停车 机器人服务 洗衣房 无烟楼层 家庭房 套房 干衣机 管家服务 自助早餐 会议厅
万信酒店(上海陆家嘴世博园店),"3,361条点评",535,上海,新国际博览中心,高科西路551号,距市中心直线5.8公里,31.184955722965327,121.50443134177053,4.5,不错,4.5,4.5,4.5,4.5,免费停车 洗衣房 机器人服务 干衣机 会议厅 自助早餐 无烟楼层 套房 儿童餐 音乐会
上海虹桥国家会展中心同派酒店,"1,075条点评",365,上海,虹桥周边,闵北路115号,距市中心直线18.1公里,31.2156410952686,121.284493483854,4.7,很好,4.7,4.7,4.6,4.7,免费停车 会议厅 咖啡厅 工业风 健身室 机器人服务 洗衣房 酒吧 干衣机 自助早餐
上海东方美谷JW万豪酒店,871条点评,1353,上海,奉贤开发区,湖畔路399号,距市中心直线33公里,30.9345327522519,121.498865262951,4.7,很好,4.7,4.7,4.7,4.7,湖畔美居 室内泳池 行政酒廊 挖沙 花园景 儿童乐园 中式餐厅 音乐喷泉 自助早餐 酒吧
上海金桥中心逸扉酒店,818条点评,521,上海,浦东金桥,金台路222号,距市中心直线11.1公里,31.251591569475167,121.58799163075258,4.7,很好,4.7,4.7,4.7,4.7,免费停车 充电桩 会议厅 洗衣房 健身室 干衣机 自助早餐 无烟楼层 咖啡厅 投影仪
上海国展中心航中路地铁站美沁酒店,"1,122条点评",361,上海,七宝,航中路139号,距市中心直线13.3公里,31.168233,121.354449,4.7,很好,4.7,4.7,4.7,4.7,商务中心 无烟楼层
宿适夏洛特酒店(上海国际旅游度假区酒店),"3,584条点评",281,上海,迪士尼,周浦镇瓦屑振兴路58号,距市中心直线21.9公里,31.1089708680973,121.654989730449,4.6,好,4.6,4.6,4.7,4.6,儿童乐园 亲子主题房 无烟楼层 拍照出片 管家服务 套房 家庭房 烧烤
YOUNG服务式公寓酒店,65条点评,434,上海,前滩,东书房路629弄25号4层,距市中心直线9.6公里,31.16348784923451,121.53728787708708,4.6,好,4.5,4.7,4.8,4.5,管家服务 洗衣房 套房 充电桩 家庭房 厨房
上海浦东香格里拉大酒店,"11,700条点评",1473,上海,陆家嘴,富城路33号,距市中心直线2.5公里,31.23576503896421,121.49935487791453,4.7,很好,4.8,4.7,4.7,4.6,江河景房 黄浦江江景 拍照出片 亲子课程 海洋球滑梯 法餐 行政酒廊 商务中心 酒吧 外滩夜景
上海九思酒店,"1,158条点评",385,上海,顾村公园,山连路377弄8号,距市中心直线14.6公里,31.307412015344806,121.3495919310024,4.8,棒,4.8,4.9,4.8,4.8,免费停车 SPA 机器人服务 拍照出片 会议厅 智能客控 套房 干衣机 洗衣房 自助早餐
维也纳国际酒店(上海交大沪闵路店),599条点评,342,上海,交大/闵行开发区,沪闵路280号,距市中心直线25.3公里,31.007573404362333,121.42168971537862,4.4,,4.4,4.5,4.4,4.4,棋牌室 免费停车 洗衣房 KTV 商务中心 无烟楼层 套房 自助早餐 家庭房 花园景
上海馨乐庭陆家嘴公寓酒店,"1,207条点评",628,上海,浦东金桥,崮山路500号 (明悦大厦内),距市中心直线8公里,31.243042326071233,121.55657716652827,4.6,好,4.6,4.7,4.6,4.6,干衣机 健身室 会议厅 机器人服务 无烟楼层 自助早餐 套房 厨房
上海虹桥中心爱琴海亚朵S酒店,"2,898条点评",766,上海,虹桥,吴中路与虹井路交叉口吴中路1588号2-C幢,距市中心直线11.6公里,31.174039723122,121.371458545928,4.7,很好,4.8,4.8,4.8,4.7,设计师酒店 动人夜景 会议厅 健身课程 瑜伽课程 机器人服务 健身室 干衣机 自助早餐 管家服务
上海素凯泰酒店,"2,110条点评",1796,上海,静安寺/南京西路,威海路380号,距市中心直线940米,31.227443543546,121.46445165922,4.7,很好,4.7,4.7,4.6,4.6,设计师酒店 家庭房 室内恒温泳池 泰式餐厅 瑜伽课程 工业风 SPA 酒吧 咖啡厅 桑拿
