酒店,评论,价格,城市,区域,地址,距离,纬度,经度,评分,评价,环境,卫生,服务,设施,标签
上海三甲港绿地铂骊酒店(浦东机场店),771条点评,346,上海,浦东机场核心区,华夏东路6666弄6号,距市中心直线28.9公里,31.210568760958417,121.77639036597189,4.5,不错,4.5,4.5,4.5,4.5,海景房 免费停车 免费送机 马场 儿童乐园 骑马 亲子酒店 免费接送机 自助早餐 棋牌室
吉泰连锁酒店(上海本溪路新华医院店),867条点评,316,上海,江湾/五角场,本溪路197号,距市中心直线6.2公里,31.274793388451357,121.51378209352391,4.1,,4.2,4.1,4.2,4.1,洗衣房 无烟楼层 自助早餐 家庭房
简爱酒店  (上海西站店),"1,396条点评",374,上海,长风公园,桃浦路306号B座,距市中心直线8.2公里,31.26027204037147,121.39487196671843,4.6,好,4.6,4.6,4.6,4.6,家庭房 无烟楼层 管家服务 咖啡厅 自助早餐 会议厅 充电桩 智能客控 花园
上海古美智选假日酒店,63条点评,421,上海,光大会展中心/漕河泾地区,龙茗路1300弄181号,距市中心直线12.8公里,31.142812393030397,121.38633830399796,4.6,好,4.3,4.8,4.6,4.5,新开业 洗衣房 机器人服务 无烟楼层 会议厅 健身室 免费停车 自助早餐 套房 干衣机
上海雅居乐万豪侯爵酒店,"4,758条点评",1282,上海,人民广场,西藏中路555号,距市中心直线700米,31.236681468408968,121.47352855046793,4.7,很好,4.7,4.7,4.7,4.7,动人夜景 行政酒廊 健身室 室内泳池 酒吧 拍照出片 自助早餐 中式餐厅 咖啡厅 家庭房
柏曼酒店(上海虹桥火车站国展中心店),"1,190条点评",474,上海,虹桥机场/国家会展中心,华江路1338号,距市中心直线14公里,31.22757799234385,121.32641829947933,4.5,不错,4.5,4.5,4.6,4.5,低碳酒店 免费停车 洗衣房 健身室 棋牌室 无烟楼层 套房 机器人服务 干衣机 充电桩 家庭房
锦江都城酒店(上海五角场店),"1,361条点评",412,上海,江湾/五角场,国霞路345号C座,距市中心直线10公里,31.3157816984524,121.505029994837,4.8,棒,4.8,4.8,4.8,4.8,机器人服务 家庭房 免费停车 干衣机 咖啡厅 洗衣房 健身室 套房 自助早餐 SPA
唯庭酒店(上海中山公园地铁站店),"2,189条点评",417,上海,中山公园,中山西路515号,距市中心直线6.1公里,31.2138720354088,121.412345577819,4.6,好,4.6,4.6,4.6,4.6,智能客控 咖啡厅 洗衣房 无烟楼层
上海闵行工业园亚朵酒店,"1,088条点评",394,上海,交大/闵行开发区,潭竹路58号5幢,距市中心直线20.1公里,31.05374815410116,121.43055069505694,4.8,棒,4.8,4.8,4.8,4.8,花园景 免费停车 干衣机 洗衣房 自助早餐 套房 机器人服务 咖啡厅 无烟楼层 自营亲子房
上海瑞金洲际酒店,"2,374条点评",1845,上海,淮海路/新天地,瑞金二路118号,距市中心直线2.1公里,31.212978061425993,121.46411620668263,4.7,很好,4.8,4.8,4.7,4.7,花园洋房 拍照出片 免费停车 会议厅 行政酒廊 历史古韵 桑拿 SPA 室内泳池 中式餐厅
上海新国际博览中心龙阳路亚朵酒店,"1,906条点评",660,上海,新国际博览中心,龙阳路1245号5-8楼,距市中心直线6.7公里,31.19856132690844,121.53317580820122,4.8,棒,4.7,4.8,4.8,4.7,会议厅 机器人服务 洗衣房 自助早餐 免费停车 咖啡厅 健身室 无烟楼层 儿童餐
隽升公寓,222条点评,187,上海,浦东外高桥,富特北路111号,距市中心直线17.2公里,31.345059342406397,121.59472805743502,4.7,很好,4.7,4.7,4.7,4.7,健身室 洗衣房 干衣机 管家服务 充电桩 会议厅 无烟楼层 游戏室 免费停车 茶室
桔子水晶上海安亭酒店,"1,445条点评",375,上海,嘉定新城,曹安公路5676号,距市中心直线30.7公里,31.288937587680042,121.15790190149252,4.9,超棒,4.9,4.9,4.9,4.9,健身室 机器人服务 免费停车 洗衣房 自助早餐 无烟楼层 干衣机 儿童餐 会议厅
上海中环百联铜川路地铁站亚朵X酒店,944条点评,454,上海,长风公园,真北路2051号,距市中心直线8.2公里,31.251912174178766,121.39102142269894,4.7,很好,4.7,4.7,4.7,4.7,免费停车 新开业 洗衣房 机器人服务 健身室 干衣机 自助早餐 无烟楼层 智能客控 咖啡厅
上海前滩香格里拉大酒店,"4,261条点评",1332,上海,前滩,海阳西路551号,距市中心直线8.8公里,31.151382707093756,121.48130239870322,4.8,棒,4.8,4.8,4.7,4.8,行政酒廊 瑜伽课程 音乐会 设计师酒店 江河景房 中式餐厅 城市夜景 蓝牙音箱 会议厅 儿童餐
上海虹桥兖矿郁锦香酒店,218条点评,400,上海,虹桥周边,明珠路303号,距市中心直线20.6公里,31.168819524718216,121.26967269102646,4.7,很好,4.7,4.8,4.7,4.7,健身室 机器人服务 智能客控 免费停车 干衣机 咖啡厅 无烟楼层 自助早餐 会议厅 充电桩
basePLUS佰舍服务式公寓(上海世博会博物馆滨江店),828条点评,550,上海,打浦桥,中山南一路428号,距市中心直线3.6公里,31.199496655638868,121.48506414089222,4.6,好,4.5,4.6,4.6,4.5,机器人服务 健身室 江河景房 干衣机 厨房 家庭房 健身课程 管家服务
上海莘庄亚朵酒店,"1,983条点评",428,上海,莘庄,莘松路1007号,距市中心直线18.3公里,31.0993227784785,121.358630667308,4.9,超棒,4.9,4.9,4.9,4.8,免费停车 洗衣房 会议厅 花园景 健身室 干衣机 自助早餐 咖啡厅 家庭房 套房
唯庭轻居酒店(松江大学城店),879条点评,280,上海,佘山/松江大学城,谷阳北路1425弄143号,距市中心直线31.8公里,31.03319318616724,121.23274098126164,4.6,好,4.6,4.6,4.6,4.5,机器人服务 智能客控 洗衣房 套房 干衣机 无烟楼层 家庭房 自助早餐
上海东方美仑美奂酒店,"1,516条点评",1776,上海,外滩核心区,金陵东路1号,距市中心直线1.8公里,31.231812570741916,121.4929343080161,4.7,很好,4.8,4.8,4.7,4.7,设计师酒店 江河景房 动人夜景 机器人服务 酒吧 咖啡厅 自助早餐 健身室 家庭房 智能客控
星酒店(上海虹桥国展中心店),551条点评,242,上海,虹桥机场/国家会展中心,曹安公路2300弄76号,距市中心直线12.9公里,31.261171563020397,121.34256708075674,4.3,,4.3,4.4,4.3,4.3,免费停车 无烟楼层
上海浦东张江园区张江路河畔轻居酒店,895条点评,452,上海,浦东张江,张江路135号,距市中心直线13.4公里,31.210431194774053,121.6126303072404,4.9,超棒,4.9,4.9,4.9,4.8,机器人服务 干衣机 智能客控 健身室 免费停车 花园 自助早餐 亲子主题房 洗衣房 儿童餐
美豪丽致酒店(上海虹桥枢纽国展店),"1,124条点评",400,上海,虹桥周边,新府中路1399弄203号,距市中心直线23公里,31.2281351159707,121.232079403743,4.8,棒,4.8,4.8,4.8,4.8,健身室 免费停车 管家服务 洗衣房 自助早餐 干衣机 亲子主题房 无烟楼层 套房 儿童托管
上海金沙智选假日酒店,"3,091条点评",412,上海,长风公园,金沙江路2281号,距市中心直线10.2公里,31.23765906094834,121.36687361208494,4.8,棒,4.8,4.8,4.8,4.7,免费停车 充电桩 健身室 会议厅 干衣机 自助早餐 洗衣房 家庭房 无烟楼层 机器人服务
上海言舍民宿,,540,上海,静安寺/南京西路,康定路1033号同济佳苑写字楼22楼2207室,距市中心直线3.4公里,31.230188922862432,121.43753450286424,,,,,,,洗衣房 套房 厨房
上海虹桥福朋喜来登酒店,"1,283条点评",397,上海,虹桥机场/国家会展中心,汇龙路227号B幢,距市中心直线19.6公里,31.1974753218927,121.271261272656,4.6,好,4.6,4.6,4.5,4.5,江河景房 酒吧 免费停车 自助早餐 咖啡厅 无烟楼层 健身室 花园景 套房 拍照出片
全季酒店(上海虹桥枢纽临空园区店),"2,293条点评",501,上海,虹桥,广顺路8号,距市中心直线11.6公里,31.217846088475174,121.35266030807543,4.8,棒,4.8,4.8,4.8,4.8,免费停车 洗衣房 健身室 机器人服务 无烟楼层 套房 干衣机 免费拼车接机 会议厅 自助早餐
上海浦东机场亚朵酒店,"1,209条点评",573,上海,浦东机场核心区,祝桥镇施新路551弄-8号,距市中心直线28公里,31.146662745083415,121.7508507585053,4.7,很好,4.7,4.7,4.7,4.6,免费接送机 免费停车 智能客控 儿童乐园 机器人服务 花园 洗衣房 家庭房 无烟楼层 自助早餐
上海新时空嘉廷酒店,"2,741条点评",383,上海,中山公园,汇川路99号2楼,距市中心直线5.6公里,31.217197295551518,121.41685983576829,4.2,,4.3,4.2,4.3,4.1,商务中心 无烟楼层 咖啡厅
上海陆家嘴滨江禧玥酒店,"3,961条点评",1174,上海,陆家嘴,浦明路868弄3号楼,距市中心直线3.9公里,31.220214743015,121.51259450905,4.8,棒,4.8,4.8,4.8,4.7,屋顶酒吧 拍照出片 顶楼餐厅 迷人江景 中式风格 机器人服务 商务中心 免费停车 自助早餐 智能客控
上海馨乐庭长寿路公寓酒店,176条点评,564,上海,中山公园,长寿路1188号,距市中心直线4.4公里,31.230036091686884,121.42720691441318,4.8,棒,4.8,4.8,4.8,4.8,新开业 江河景房 机器人服务 无烟楼层 管家服务 厨房 套房
和颐酒店(上海虹桥火车站国家会展中心店),"1,577条点评",403,上海,七宝,沪星路318号,距市中心直线14.8公里,31.164986876528094,121.33780434683527,4.6,好,4.6,4.6,4.6,4.5,机器人服务 干衣机 套房 洗衣房 商务中心 家庭房 无烟楼层 自助早餐
上海兴荣酒店,70条点评,294,上海,浦东金桥,浦东大道2288号 (5-7),距市中心直线8.1公里,31.25347970675736,121.554784026321,4.3,,4.3,4.4,4.3,4.2,洗衣房 无烟楼层 新开业 干衣机 管家服务 充电桩 免费停车 自助早餐 家庭房
丽呈睿轩上海国际旅游度假区川沙酒店,"2,508条点评",425,上海,迪士尼,川沙镇妙境路1136弄58号,距市中心直线21.6公里,31.180174899457445,121.69272512478882,4.6,好,4.6,4.6,4.7,4.6,亲子主题房 免费机场班车 免费停车 自助早餐 干衣机 KTV 投影仪 家庭房 棋牌室 机器人服务
全季酒店(上海虹桥古北路店),"1,604条点评",420,上海,虹桥,古北路1799号,距市中心直线8.3公里,31.187484634925976,121.40291820920427,4.8,棒,4.8,4.8,4.8,4.8,免费停车 洗衣房 无烟楼层 干衣机 自助早餐
上海五角场INNO创智亚朵X酒店,924条点评,478,上海,江湾/五角场,国霞路289号,距市中心直线9.9公里,31.314701120280397,121.50556878694704,4.9,超棒,4.9,4.9,4.9,4.8,会议厅 咖啡厅 下午茶 套房 健身室 无烟楼层 洗衣房 自助早餐 干衣机 花园
上海虹桥枢纽国展中心亚朵酒店,"2,485条点评",458,上海,虹桥机场/国家会展中心,申长北路126弄1号,距市中心直线15.5公里,31.218933158974,121.31099289711,4.8,棒,4.8,4.8,4.8,4.8,江河景房 机器人服务 免费送机 健身室 洗衣房 免费停车 会议厅 干衣机 自助早餐 无烟楼层
汉庭酒店(上海环球港店),602条点评,383,上海,长风公园,武宁路492弄30号,距市中心直线5.4公里,31.243438640348113,121.41862914609662,4.8,棒,4.8,4.8,4.8,4.7,免费停车 机器人服务 咖啡厅 干衣机 洗衣房 自助早餐
科伦酒店(上海交通大学店),"3,351条点评",497,上海,徐家汇,番禺路222弄48号,距市中心直线5.2公里,31.20677408248615,121.42673674062024,4.7,很好,4.6,4.7,4.7,4.6,拍照出片 家庭房 无烟楼层 洗衣房 干衣机 自助早餐
上海龙之梦万丽酒店,"2,637条点评",789,上海,中山公园,长宁路1018号 (25楼办理入住),距市中心直线5.5公里,31.21890513503839,121.41719510377753,4.4,,4.4,4.5,4.3,4.3,动人夜景 拍照出片 免费停车 室内泳池 行政酒廊 咖啡厅 自助早餐 会议厅 健身室 无烟楼层
上海虹桥机场空港路亚朵X酒店,689条点评,419,上海,虹桥机场/国家会展中心,沪青平公路220号,距市中心直线13公里,31.181268536728243,121.3500369954549,4.7,很好,4.7,4.7,4.7,4.7,免费停车 机器人服务 会议厅 洗衣房 家庭房 健身室 套房 无烟楼层 自助早餐
万和至臻酒店(上海日月光打浦桥地铁站店),"5,078条点评",454,上海,打浦桥,徐家汇路679-1号,距市中心直线2.9公里,31.205039310418528,121.46893116385617,4.6,好,4.6,4.6,4.7,4.6,商务中心 干衣机 投影仪 无烟楼层 拍照出片
如家商旅酒店(上海新国际博览中心张江高科广兰路地铁站店),"1,541条点评",345,上海,浦东张江,广兰路1090号,距市中心直线14.3公里,31.205040028473356,121.62059037291242,4.6,好,4.6,4.6,4.6,4.5,免费停车 洗衣房 无烟楼层 干衣机 自助早餐
上海兰墅智慧酒店(金山百联店),"4,261条点评",648,上海,金山城市沙滩,卫清西路45号,距市中心直线56.9公里,30.730571319520493,121.35131693977443,4.9,超棒,4.8,4.9,4.9,4.8,观影会员 机器人服务 影音房 棋牌房 投影仪 洗衣房 套房 干衣机 会议厅 免费停车
汉庭酒店(上海静安寺店),"1,222条点评",685,上海,静安寺/南京西路,武定路1058号,距市中心直线3公里,31.229887861035678,121.44192903723065,4.7,很好,4.7,4.8,4.8,4.7,机器人服务 无烟楼层 洗衣房 套房 儿童托管
上海陆家嘴民生路地铁站亚朵酒店,"1,836条点评",592,上海,陆家嘴,商城路2050号,距市中心直线6.4公里,31.238747654137597,121.54037100889829,4.8,棒,4.8,4.8,4.8,4.8,免费停车 机器人服务 会议厅 儿童餐 干衣机 洗衣房 健身室 下午茶 自助早餐 无烟楼层
锦江都城酒店(上海徐家汇南华亭宾馆),"1,973条点评",460,上海,徐家汇,中山西路2525号,距市中心直线6.6公里,31.18108651426304,121.43465565999429,4.7,很好,4.6,4.7,4.7,4.6,动人夜景 会议厅 中式风格 无烟楼层 免费停车 套房 自助早餐
柏里寓BAILIV(上海虹桥枢纽崧泽大道店),109条点评,282,上海,青浦朱家角/东方绿舟,香花桥街道崧泽大道6066号柏里寓27号楼,距市中心直线28.3公里,31.175369681627412,121.18343976427367,4.3,,4.4,4.3,4.2,4.3,免费停车 洗衣房 露营 健身室 免费携带宠物 会议厅 智能客控 咖啡厅 套房 茶室
上海大华新村路地铁站亚轻X酒店,"1,210条点评",371,上海,大宁国际,灵石路1559号,距市中心直线6.4公里,31.267639509557174,121.4228138159037,4.6,好,4.6,4.6,4.6,4.6,免费停车 家庭房 花园 机器人服务 健身室 洗衣房 干衣机 自助早餐 套房 无烟楼层
汉庭酒店(上海嘉定新城马陆店),642条点评,296,上海,嘉定新城,宝安公路3705弄1号东门,距市中心直线22.2公里,31.326005325147,121.26835739484,4.7,很好,4.7,4.7,4.7,4.7,免费停车 无烟楼层 洗衣房 机器人服务 套房 干衣机 自助早餐 花园
baseLITE佰舍服务式公寓(上海徐家汇龙华西路店),343条点评,433,上海,徐家汇,龙华西路315弄58号,距市中心直线6.9公里,31.17437759512408,121.44298025051602,4.6,好,4.6,4.7,4.6,4.6,健身室 无烟楼层 游戏室 桌球室 厨房
上海宓亚酒店(徐家汇交大店),939条点评,491,上海,徐家汇,番禺路955号,距市中心直线5.8公里,31.19500404660511,121.42848457310032,4.7,很好,4.7,4.7,4.6,4.6,设计师酒店 新开业 健身室 机器人服务 工业风 蓝牙音箱 咖啡厅 无烟楼层 花园 套房
零点依九思国际酒店(上海交大店),337条点评,365,上海,交大/闵行开发区,沪闵路64号,距市中心直线26公里,31.00036827782736,121.42580385154379,4.4,,4.4,4.4,4.4,4.4,健身室 管家服务 洗衣房 干衣机 免费停车 会议厅 江河景房 家庭房 自助早餐
美豪丽致酒店(上海徐家汇衡山路店),"6,368条点评",659,上海,徐家汇,建国西路691号,距市中心直线4.4公里,31.2000116309643,121.44435890087985,4.7,很好,4.7,4.7,4.7,4.6,管家服务 亲子主题房 健身室 干衣机 无烟楼层 洗衣房 咖啡厅 套房 中式风格 家庭房
OPARTMENT远东饭店,423条点评,1998,上海,人民广场,西藏中路90号,距市中心直线400米,31.230024241416775,121.47782803920289,4.7,很好,4.8,4.8,4.7,4.7,智能客控 屋顶酒吧 干衣机 动人夜景 厨房 无烟楼层 套房 管家服务 洗衣房 拍照出片
宜必思尚品酒店(上海虹桥古北店),"1,155条点评",384,上海,虹桥,虹许路486号,距市中心直线8.6公里,31.1894166530378,121.396556025748,4.8,棒,4.8,4.8,4.8,4.8,免费停车 洗衣房 机器人服务 干衣机 会议厅 自助早餐 花园
上海陆家嘴八佰伴亚朵酒店,"2,128条点评",728,上海,陆家嘴,商城路518号内外联大厦2楼,距市中心直线4.1公里,31.230009104009,121.51701201361,4.7,很好,4.7,4.7,4.7,4.6,儿童餐 商务中心 无烟楼层 自助早餐 干衣机 洗衣房 家庭房
上海美亚璟庭酒店(白银路地铁站店),605条点评,358,上海,嘉定新城,洪德路880号,距市中心直线25.4公里,31.352866008963815,121.24886569331217,4.7,很好,4.7,4.7,4.7,4.6,免费停车 洗衣房 管家服务 咖啡厅 自助早餐 套房 无烟楼层 干衣机 花园 下午茶
锦江之星(上海浦东机场镇店),"2,079条点评",320,上海,浦东机场核心区,川南奉公路971弄1号1幢,距市中心直线26.3公里,31.18252973174404,121.7442723032192,4.5,不错,4.5,4.6,4.5,4.5,免费接送机 无烟楼层 花园景 免费停车 自助早餐
桔子水晶上海陆家嘴金融中心酒店,"2,749条点评",826,上海,陆家嘴,潍坊路328号,距市中心直线5.9公里,31.22839594897705,121.53531740670921,4.8,棒,4.8,4.8,4.8,4.8,行政酒廊 免费停车 机器人服务 会议厅 酒吧 干衣机 健身室 洗衣房 自助早餐 蓝牙音箱
上海安兰云酒店,"1,929条点评",423,上海,虹桥周边,联友路58弄6号,距市中心直线18.7公里,31.2110804758671,121.27887529487,4.7,很好,4.8,4.8,4.8,4.7,免费停车 机器人服务 咖啡厅 自助早餐 健身室 套房 会议厅 洗衣房 拍照出片 茶室
如家商旅酒店(上海大华新村路地铁站店),888条点评,342,上海,大宁国际,西乡路268号,距市中心直线6.1公里,31.268913030018492,121.42766101242418,4.7,很好,4.7,4.7,4.7,4.7,机器人服务 商务中心 无烟楼层 洗衣房 干衣机 自助早餐
上海中建瑞贝庭臻选公寓酒店,"1,825条点评",358,上海,大宁国际,场中路2018号,距市中心直线8.5公里,31.30423858368155,121.45179684334408,4.7,很好,4.7,4.7,4.7,4.7,免费停车 拍照出片 机器人服务 充电桩 家庭房 干衣机 会议厅 自助早餐 套房 无烟楼层
上海浦东张江园区张江路亚朵X酒店,"1,886条点评",540,上海,浦东张江,张江路625号,距市中心直线13.8公里,31.205134494298417,121.61571624346617,4.9,超棒,4.9,4.9,4.9,4.9,健身室 自助早餐 智能客控 洗衣房 机器人服务 自营亲子房 无烟楼层 套房
汉庭酒店(上海青浦嘉松中路地铁站店),101条点评,347,上海,虹桥周边,赵巷镇盈港东路4369弄4号楼,距市中心直线24.3公里,31.16439867188063,121.22990908079991,4.9,超棒,4.8,4.9,4.9,4.9,免费停车 洗衣房 无烟楼层 咖啡厅 机器人服务 新开业 干衣机 自助早餐
上海五角场Pagoda君亭设计酒店,"1,979条点评",595,上海,江湾/五角场,政学路77号,距市中心直线9.1公里,31.306250052417,121.50939238908,4.6,好,4.6,4.6,4.6,4.6,设计师酒店 拍照出片 亲子主题房 恒温泳池 商务中心 家庭房 健身室 免费停车 洗衣房 无烟楼层
上海虹桥韩国街亚朵酒店,"2,764条点评",510,上海,光大会展中心/漕河泾地区,银亭路66号5F,距市中心直线11.4公里,31.171283167759384,121.3754583850159,4.8,棒,4.8,4.8,4.8,4.8,免费停车 洗衣房 商务中心 干衣机 音乐喷泉 管家服务 无烟楼层 儿童餐 自助早餐 拍照出片
宜必思酒店(上海新国际博览中心联洋店),"1,777条点评",406,上海,新国际博览中心,芳甸路200号,距市中心直线7.9公里,31.226710200008895,121.55709388463305,4.6,好,4.6,4.7,4.7,4.6,机器人服务 干衣机 商务中心 洗衣房 无烟楼层 自助早餐 咖啡厅
汉庭酒店(上海龙阳路地铁站店),"1,369条点评",582,上海,新国际博览中心,白杨路260号,距市中心直线8.2公里,31.20724032526616,121.5550555619133,4.7,很好,4.7,4.6,4.7,4.6,免费停车 自助早餐 洗衣房 机器人服务 无烟楼层 干衣机
汉庭酒店(上海中环沪南路店),357条点评,391,上海,新国际博览中心,沪南路2038号 (中环高架华夏西路沪南路口),距市中心直线11.2公里,31.163669544249018,121.5623512829915,4.6,好,4.6,4.7,4.7,4.7,免费停车 机器人服务 洗衣房 免费儿童早餐
定士居水晶酒店(上海虹桥火车站国家会展中心店),322条点评,579,上海,虹桥机场/国家会展中心,徐民路308弄108号,距市中心直线18.7公里,31.1816485487723,121.285682985928,4.7,很好,4.7,4.8,4.7,4.7,智能客控 套房 健身室 干衣机 洗衣房 无烟楼层 管家服务 花园景 机器人服务 中式风格
上海世博中心亚朵酒店,"3,002条点评",721,上海,新国际博览中心,耀华路261号,距市中心直线6.2公里,31.1762340990929,121.488441367224,4.8,棒,4.8,4.8,4.8,4.8,花园 洗衣房 免费停车 干衣机 机器人服务 咖啡厅 家庭房 中式风格 儿童餐 无烟楼层
上海夏亚酒店,"1,610条点评",592,上海,虹桥机场/国家会展中心,高泾路1118号,距市中心直线18.6公里,31.17093424642093,121.29143021452563,4.8,棒,4.8,4.8,4.7,4.7,健身室 免费停车 会议厅 花园景 行政酒廊 桑拿 室内泳池 中式餐厅 自助早餐 套房
上海陆家嘴东方明珠亚朵S酒店,"2,007条点评",679,上海,陆家嘴,桃林路189号,距市中心直线6公里,31.240494350130295,121.535447864366,4.8,棒,4.8,4.8,4.8,4.8,干衣机 健身室 自助早餐 套房 无烟楼层 免费停车 洗衣房 瑜伽课程 管家服务 花园景
上海大宁福朋喜来登酒店,"2,270条点评",689,上海,大宁国际,共和新路1928号,距市中心直线5.2公里,31.273740064610116,121.45202847608871,4.6,好,4.6,4.6,4.6,4.5,免费停车 亲子主题房 室内泳池 商务中心 健身室 无烟楼层 自助早餐 拍照出片 咖啡厅 酒吧
上海信业·悦你酒店,"3,770条点评",424,上海,嘉定新城,环城路762弄3号,距市中心直线28.2公里,31.3951998023683,121.248764085873,4.8,棒,4.8,4.8,4.7,4.7,免费停车 湖景房 充电桩 机器人服务 动人夜景 亲子主题房 健身室 儿童乐园 干衣机 洗衣房
上海新国际博览中心舜地三和园酒店,526条点评,391,上海,新国际博览中心,成山路2599弄,距市中心直线9.1公里,31.180216960829096,121.54883758609367,4.7,很好,4.7,4.7,4.7,4.7,免费停车 健身室 咖啡厅 会议厅 亲子主题房 酒吧 套房 家庭房 洗衣房 花园
上海小茂公寓(宝山店),127条点评,250,上海,顾村公园,富联二路55弄4号楼,距市中心直线16.8公里,31.37097484230865,121.4102484541023,4.7,很好,4.7,4.8,4.7,4.6,咖啡厅 厨房 套房 充电桩 洗衣房 干衣机 会议厅
上海张江CitiGO欢阁酒店X,"1,342条点评",399,上海,浦东张江,张江镇申江路5800号,距市中心直线14.8公里,31.195161065239525,121.62342219897353,4.8,棒,4.8,4.8,4.8,4.8,免费停车 机器人服务 干衣机 桌球室 桌面足球 健身室 自助早餐 洗衣房 无烟楼层 儿童餐
上海宝华喜来登酒店,"1,040条点评",712,上海,奉贤开发区,南奉公路3111弄228号,距市中心直线35.7公里,30.9216592939885,121.575571558819,4.7,很好,4.7,4.7,4.6,4.6,儿童俱乐部 室内泳池 行政酒廊 中式餐厅 会议厅 健身室 自助早餐 套房 咖啡厅 拍照出片
CJ潮际酒店(上海长寿路武宁路地铁站店),667条点评,404,上海,中山公园,长寿路1086号,距市中心直线4.4公里,31.23161664396711,121.42783386408892,4.4,,4.3,4.4,4.4,4.3,无烟楼层 套房 干衣机 管家服务 拍照出片 洗衣房 会议厅 家庭房
上海徐汇华泾亚朵酒店,580条点评,480,上海,莘庄,龙吟路69号,距市中心直线12.7公里,31.117977159200844,121.453450722873,4.9,超棒,4.8,4.9,4.9,4.9,免费停车 洗衣房 健身室 新开业 套房 自助早餐 无烟楼层 机器人服务 影音房
F1臻品酒店(上海大宁国际延长路地铁站店),583条点评,367,上海,大宁国际,老沪太路195弄-1号,距市中心直线4.6公里,31.268168401158146,121.45439094624435,4.6,好,4.6,4.6,4.6,4.6,洗衣房 家庭房 无烟楼层 自助早餐
唯庭轻居酒店(上海五角场长海医院店),136条点评,288,上海,江湾/五角场,包头路193号,距市中心直线10.9公里,31.311108733899168,121.53846160795034,4.5,不错,4.5,4.5,4.6,4.5,智能客控 新开业 无烟楼层 家庭房
上海嘉定福朋喜来登酒店,995条点评,654,上海,嘉定新城,叶城路866号,距市中心直线26公里,31.365145404526263,121.25065989615092,4.7,很好,4.7,4.7,4.6,4.6,免费停车 儿童乐园 健身室 酒吧 行政酒廊 自助早餐 咖啡厅 无烟楼层 拍照出片 充电桩
景莱酒店∙臻选(上海真如地铁站店),726条点评,353,上海,长风公园,兰溪路258号,距市中心直线7公里,31.246802966430295,121.40234921386083,4.7,很好,4.7,4.7,4.7,4.7,健身室 干衣机 机器人服务 花园景 管家服务 智能客控 无烟楼层 洗衣房 免费儿童早餐 会议厅
上海初心莫舍设计师民宿,"3,487条点评",791,上海,迪士尼,陈桥村1132号2室,距市中心直线22.7公里,31.1417542656995,121.687987660548,4.8,棒,4.8,4.8,4.8,4.7,免费机场班车 亲子主题房 庭院式建筑 室外泳池 星空房 拍照出片 中式风格 管家服务 ins风格 免费儿童早餐
上海陆家嘴美居酒店,555条点评,665,上海,陆家嘴,浦东大道1535号一层,距市中心直线6.3公里,31.24370377108059,121.53844048797879,4.8,棒,4.8,4.8,4.8,4.8,机器人服务 干衣机 智能客控 健身室 免费停车 洗衣房 套房 无烟楼层 花园 自助早餐
一间森林酒店(上海人民广场店),"1,351条点评",141,上海,人民广场,威海路62号,距市中心直线460米,31.2278873522792,121.469892184095,4.3,,4.3,4.3,4.4,4.3,洗衣房 无烟楼层 干衣机 拍照出片 家庭房
